FIPS,State,County,Variable_Code,Value
8017,CO,Cheyenne,LACCESS_CHILD10,156.1996024
8017,CO,Cheyenne,LACCESS_CHILD15,156.1996024
8017,CO,Cheyenne,LACCESS_CHILD_10_15,0
8017,CO,Cheyenne,PCT_LACCESS_CHILD10,8.507603616
8017,CO,Cheyenne,PCT_LACCESS_CHILD15,8.507603616
8017,CO,Cheyenne,LACCESS_SENIORS10,106.3763431
8017,CO,Cheyenne,LACCESS_SENIORS15,106.3763431
8017,CO,Cheyenne,PCH_LACCESS_SENIORS_10_15,0
8017,CO,Cheyenne,PCT_LACCESS_SENIORS10,5.79391847
8017,CO,Cheyenne,PCT_LACCESS_SENIORS15,5.79391847
8017,CO,Cheyenne,LACCESS_WHITE15,557.1438896
8017,CO,Cheyenne,PCT_LACCESS_WHITE15,30.34552776
8017,CO,Cheyenne,LACCESS_BLACK15,6.999999948
8017,CO,Cheyenne,PCT_LACCESS_BLACK15,0.381263614
8017,CO,Cheyenne,LACCESS_HISP15,81.65411865
8017,CO,Cheyenne,PCT_LACCESS_HISP15,4.447392084
8017,CO,Cheyenne,LACCESS_NHASIAN15,2.8542476
8017,CO,Cheyenne,PCT_LACCESS_NHASIAN15,0.155460109
8017,CO,Cheyenne,LACCESS_NHNA15,5.000000045
8017,CO,Cheyenne,PCT_LACCESS_NHNA15,0.272331157
8017,CO,Cheyenne,LACCESS_NHPI15,0.999999948
8017,CO,Cheyenne,PCT_LACCESS_NHPI15,0.054466228
8017,CO,Cheyenne,LACCESS_MULTIR15,48.65411896
8017,CO,Cheyenne,PCT_LACCESS_MULTIR15,2.650006479
8019,CO,Clear Creek,LACCESS_POP10,1262.904019
8019,CO,Clear Creek,LACCESS_POP15,1262.608373
8019,CO,Clear Creek,PCH_LACCESS_POP_10_15,-0.02341004
8019,CO,Clear Creek,PCT_LACCESS_POP10,13.89639105
8019,CO,Clear Creek,PCT_LACCESS_POP15,13.8931379
8019,CO,Clear Creek,LACCESS_LOWI10,215.8695701
8019,CO,Clear Creek,LACCESS_LOWI15,213.1941456
8019,CO,Clear Creek,PCH_LACCESS_LOWI_10_15,-1.239370826
8019,CO,Clear Creek,PCT_LACCESS_LOWI10,2.375325375
8019,CO,Clear Creek,PCT_LACCESS_LOWI15,2.345886286
8019,CO,Clear Creek,LACCESS_HHNV10,90.79629208
8019,CO,Clear Creek,LACCESS_HHNV15,45.21212057
8019,CO,Clear Creek,PCH_LACCESS_HHNV_10_15,-50.20488223
8019,CO,Clear Creek,PCT_LACCESS_HHNV10,2.157706561
8019,CO,Clear Creek,PCT_LACCESS_HHNV15,1.074432523
8019,CO,Clear Creek,LACCESS_SNAP15,54.76287123
8019,CO,Clear Creek,PCT_LACCESS_SNAP15,1.301399031
8019,CO,Clear Creek,LACCESS_CHILD10,192.856624
8019,CO,Clear Creek,LACCESS_CHILD15,192.8401117
8019,CO,Clear Creek,LACCESS_CHILD_10_15,-0.008561965
